item_id,qty,pprice,supplier_id,tax,Decision
15429,3,65.1,40,12,1
5832,3,65.1,40,12,1
15428,3,65.1,40,12,1
5831,3,65.1,40,12,1
5837,2,130.18,40,12,0
5835,2,130.18,40,12,0
5836,2,130.18,40,12,0
5838,2,130.18,40,12,0
5840,3,65.1,40,12,0
5843,3,65.1,40,12,0
5841,3,65.1,40,12,0
5842,3,65.1,40,12,0
5839,3,65.1,40,12,0
6937,4,206,40,0,0
5807,4,104.24,40,0,0
6372,20,615,40,0,0
8731,4,100,132,0,0
5786,6,331.44,71,5,1
5787,3,313.08,71,5,1
5791,1,51.43,71,5,1
5790,3,142.86,71,5,1
8278,30,272.7,64,12,1
8264,30,272.7,64,12,1
8265,30,272.7,64,12,1
8267,60,545.4,64,12,1
8259,30,545.4,64,12,1
8258,30,545.4,64,12,1
8271,10,181.8,64,12,1
8257,30,545.4,64,12,1
8256,10,181.8,64,12,1
9409,10,181.8,64,12,1
9370,30,954.6,64,12,1
3503,10,628.5,152,5,1
3496,20,790.4,152,5,1
3496,20,790.4,152,5,1
3492,10,1904.7,152,5,1
5787,1,110,71,5,1
14662,2,128,71,5,1
5788,3,168,71,5,1
5789,2,112,71,5,1
5790,4,200,71,5,1
3894,12,92.4,106,18,1
3900,12,92.4,106,18,1
3905,12,184.92,106,18,1
7669,3,69.33,106,18,1
3891,6,138.66,106,18,1
12379,12,92.4,106,18,1
3975,12,184.92,106,18,1
7670,3,69.33,106,18,1
3934,12,92.4,106,18,1
3898,12,208.8,106,18,1
3889,6,69.36,106,18,1
3958,12,184.92,106,18,1
3965,12,92.4,106,18,1
3977,3,69.33,106,18,1
3886,6,69.36,106,18,1
3947,12,181.56,106,18,1
3884,6,69.36,106,18,1
3976,3,69.33,106,18,1
3920,6,45.42,106,18,1
3890,6,138.66,106,18,1
3951,6,69.36,106,18,1
3885,6,69.36,106,18,1
3908,12,306.12,106,5,1
3904,14,107.8,106,18,1
3887,6,69.36,106,18,1
3888,6,69.36,106,18,1
3936,12,92.4,106,18,1
7659,6,136.8,106,18,0
3892,6,90.78,106,18,0
3941,12,92.4,106,18,0
3931,12,92.4,106,18,0
3946,12,92.4,106,18,0
3880,12,92.4,106,18,0
3927,20,154,106,18,0
15774,12,336,245,12,0
8731,6,150,132,0,1
5794,40,710,113,0,1
6699,30,592.5,113,0,1
12520,4,86,113,0,1
12519,4,83,113,0,1
6700,10,195,113,0,1
12561,10,105,113,0,1
6036,5,214.3,180,5,1
4810,15,345,53,12,1
4809,5,115,53,12,1
4799,6,276,53,12,1
6947,4,184,53,12,1
4802,5,115,53,12,1
11914,3,183,53,12,1
4801,3,183,53,12,1
17405,10,72.1,85,18,1
17406,10,72.1,85,18,1
17407,10,72.1,85,18,1
17408,10,72.1,85,18,1
6401,3,595.05,85,5,1
6402,4,488.96,85,5,1
8727,2,260.7,85,5,1
8730,3,128.73,85,5,1
16786,5,323.85,85,5,1
17075,12,213.72,85,5,1
17071,2,223.74,85,18,1
17073,1,111.87,85,18,1
17409,2,141.44,85,12,1
6400,2,141.44,85,12,1
6399,2,141.44,85,12,1
11741,3,286.08,118,18,0
8388,15,317.85,118,18,0
8389,15,317.85,118,18,0
8384,3,508.47,118,18,0
11743,3,338.97,118,18,0
11745,3,338.97,118,18,0
16290,3,338.97,118,18,0
5013,15,762.6,26,18,0
6384,15,699.15,26,18,0
8731,4,100,132,0,1
8105,12,93.72,221,12,1
13825,12,93.72,221,12,1
8103,12,93.72,221,12,1
14665,12,93.72,221,12,1
8104,12,93.72,221,12,1
13824,12,93.72,221,12,1
14666,12,93.72,221,12,1
13823,12,93.72,221,12,1
8102,15,227.55,221,12,1
8101,15,227.55,221,12,1
8100,10,151.7,221,12,1
17410,10,151.7,221,12,1
13818,10,151.7,221,12,1
14371,24,168,226,18,1
13671,24,168,226,18,1
14837,20,67.8,226,18,1
7259,6,183,226,18,1
15295,3,91.5,226,18,1
7261,3,91.5,226,18,1
7260,6,183,226,18,1
15294,6,183,226,18,1
17349,12,84,226,18,1
14368,12,40.8,226,18,1
14370,12,78.36,226,18,1
14369,6,105.6,226,18,1
14840,15,107.25,226,12,1
14841,15,107.25,226,12,1
1941,72,532.8,226,12,1
11916,1,183.62,187,18,1
11923,1,148.31,187,18,1
13553,1,148.31,187,18,1
13581,1,148.31,187,18,1
13554,1,148.31,187,18,1
13571,12,296.64,187,18,1
11927,12,339,187,18,1
12523,8,310.72,187,18,1
12522,1,148.31,187,18,1
11930,12,339,187,18,1
11922,1,140.53,187,18,1
11917,1,201.27,187,18,1
11932,20,494.4,187,18,1
11925,25,441.5,187,18,1
