stock_id,supplier_id,qty,sprice,pprice,mrp,tax,decision
40875,40,3,26.4,65.1,30,12,1
40876,40,3,30.8,65.1,35,12,1
40877,41,3,26.4,65.1,30,12,0
40878,41,3,26.4,65.1,30,12,0
40879,41,2,79.2,130.18,90,12,0
40880,41,2,79.2,130.18,90,12,0
40881,40,2,79.2,130.18,90,12,1
40882,40,2,79.2,130.18,90,12,1
40883,40,3,26.4,65.1,30,12,1
40884,40,3,26.4,65.1,30,12,1
40885,40,3,26.4,65.1,30,12,1
40886,40,3,26.4,65.1,30,12,1
40887,40,3,26.4,65.1,30,12,1
40888,40,4,60,206,60,0,1
40889,40,4,30,104.24,30,0,1
40890,40,20,34,615,34,0,1
40891,132,4,30,100,30,0,1
40892,132,2,18,30,18,0,1
40893,71,6,66.5,331.44,70,5,1
40894,71,3,123.5,313.08,130,5,1
40895,71,1,61.75,51.43,65,5,1
40896,71,3,57,142.86,60,5,1
40897,65,30,8.8,272.7,10,12,0
40898,65,30,8.8,272.7,10,12,0
40899,65,30,8.8,272.7,10,12,0
40900,64,60,8.8,545.4,10,12,1
40901,64,30,17.6,545.4,20,12,1
40902,64,30,17.6,545.4,20,12,1
40903,64,10,17.6,181.8,20,12,1
40904,64,30,17.6,545.4,20,12,1
40905,64,10,17.6,181.8,20,12,1
40906,64,10,17.6,181.8,20,12,1
40907,64,30,30.8,954.6,35,12,1
40916,152,10,71.25,628.5,75,5,1
40917,152,20,42.75,790.4,45,5,1
40918,152,20,42.75,790.4,45,5,1
40919,152,10,188.1,1904.7,198,5,1
40923,144,3,30,75,30,0,1
40924,144,3,30,75,30,0,1
40925,144,3,18,45,18,0,1
40926,144,3,33,84,33,0,1
40927,144,3,40,105,40,0,1
40982,249,15,30.8,375,35,12,1
40983,249,5,52.8,214.25,60,12,1
40984,249,5,30.8,125,35,12,1
40985,240,5,47.5,190.45,50,5,1
40986,71,1,123.5,110,130,5,1
40987,71,2,76,128,80,5,1
40988,71,3,61.75,168,65,5,1
40989,71,2,66.5,112,70,5,1
40990,71,4,57,200,60,5,1
40991,106,12,8.2,92.4,10,18,1
40992,106,12,8.2,92.4,10,18,1
40993,100,12,16.4,184.92,20,18,0
40994,100,3,24.6,69.33,30,18,0
40995,100,6,24.6,138.66,30,18,0
40996,100,12,8.2,92.4,10,18,0
40997,106,12,16.4,184.92,20,18,1
40998,106,3,24.6,69.33,30,18,1
40999,106,12,8.2,92.4,10,18,1
41000,106,12,18.86,208.8,23,18,1
41001,106,6,12.3,69.36,15,18,1
41002,106,12,16.4,184.92,20,18,1
41003,106,12,8.2,92.4,10,18,1
41004,106,3,24.6,69.33,30,18,1
41005,106,6,12.3,69.36,15,18,1
