"supplier_id";"name";"address";"phone";"email";"company_name";"tin";"gstin"
"1";"Ramdev Marketing";"shop no.3,jalaram complex, maidan 4th cross road,M";"0824-426019";"RAMDEVMARKETING@GMAIL.COM";"Ramdev Marketing";"29510395055";"0"
"2";"Maruthi toys and  novelities";"SHOP NO 17, 
""VASUDEV ENCLAVE"" ,MAIDAN 4th cross ";"0824-427122";"Maruthitoysandnovelities@gmail";"Maruthi";"29320299760";"0"
"4";"ASIAN GLASSWARE";"Global Arcade, Maidan 4th Cross Road, Mangalore-1";"9986549708";;"ASIAN GLASSWARE";"29180676973";"1"
"5";"DIAMOND CROCKERY HOUSE";"D.No. B/8-9, Vasudev Enclave, Maiden 4th Cross Roa";"0824-425210";"DIAMONDCROCKERYHOUSE@gmail.com";"DIAMOND CROCKERY HOUSEO";"29860299754";"0"
"6";"RAMDEV DISTRIBUTORS";"Vivek Complex, Gollerkeri, Maiden 4th Cross Road, ";"0824-241019";"RAMDEVDISTRIBUTORS@gmial.com";"RAMDEV DISTRIBUTORS";"29040093013";"0"
"7";"MARUTHI SPORTS CENTER";"Shop No. 11-8-820/4, ""Maruthi Complex"", Gollerkeri";"0824-427122";"MARUTHISPORTSCENTER@gmail.com";"MARUTHI SPORTS CENTER";"29501257633";"0"
"8";"YASH MARKETING";"Maruthi Complex, Maidan 4th Cross Road, Mangalore-";"9448190971,";"YASHMARKETING@gmail.com";"YASH MARKETING";"29221207056";"0"
"14";"Milan Plastoware";"Jaya Building, Gollerkeri, Maidan 4th Cross Road, ";"0824-426019/9739940428";;"Milan Plastoware";"29APEPP2064G1ZT";"1"
"15";"AMAZON DISTRIBUTORS private LT";"KULOOR,BEHIND INDIAN OIL PETROL BUNK,KULOOR POST-M";"8861292599 ";"amazondistributors@gmail.com";"AMAZON DISTRIBUTORS PVT.LTD";"29AAFCA9197E1Z9";"1"
"16";"MARUTI  STEEL CENTERE";"P .B. Tower , Near Rao& manglore";"08244281224";"MARUTISTEELCENTERE@gmail.com";"MARUTI  STEEL CENTERE";"29661302262";"0"
"17";"School Book Company";"Car Street MAngaluru";"2496921-25 ";"schoolbookscy@gmail";"School Book Company";"29AAWFS1305A1ZA";"1"
"18";"S.J ENTERPRISES";"GURUSHREE COMPLEX KADRIE HILL MANGALORE Battagudda";"9663572150";;"S.J ENTERPRISES";"29ASGPS5203H1ZL";"1"
"19";"Mathaji Marketing";"Megha Market ,Bibi Alabi Road Mangalore";"9482579838,";"MathajiMarketing@gmail.com";"Mathaji Marketim";"29590605792";"0"
"20";"Mahalaxmi Crockery ";"Shop No.11 ,Ground Floor, Max City Building ,Maida";"0824-4284429";;"Mahalaxmi Crockery";"29AYGPS8311L1ZT";"1"
"21";"BON MASALA AND FOOD PRODUCTS";"D.No-5-32/4 Industrial Estate ,Yeyyadi Mangalore";"08242248301";"info@bonmasala.com";"BON MASALA AND FOOD PRODUCTS";"29AEXPD1364B1ZI";"1"
